"gutenburg_id" "text"
38783 "Women of Achievement"
38783 "<chapter 1>"
38783 ""
38783 "INTRODUCTION."
38783 ""
38783 "The Negro Woman in American Life"
38783 ""
38783 ""
38783 "In the history of the Negro race in America no more heroic work has been"
38783 "done than that performed by the Negro woman. The great responsibilities"
38783 "of life have naturally drifted to the men; but who can measure the"
38783 "patience, the love, the self-sacrifice of those who in a more humble way"
38783 "have labored for their people and even in the midst of war striven most"
38783 "earnestly to keep the home-fires burning? Even before emancipation a"
38783 "strong character had made herself felt in more than one community; and"
38783 "to-day, whether in public life, social service, education, missions,"
38783 "business, literature, music, or even the professions and scholarship,"
38783 "the Negro woman is making her way and reflecting credit upon a race that"
38783 "for so many years now has been struggling to the light."
38783 ""
38783 "It was but natural that those should first become known who were"
38783 "interested in the uplift of the race. If we except such an unusual and"
38783 "specially gifted spirit as Phillis Wheatley, we shall find that those"
38783 "who most impressed the American public before the Civil War were the"
38783 "ones who best identified themselves with the general struggle for"
38783 "freedom. Outstanding was the famous lecturer, Sojourner Truth. This"
38783 "remarkable woman was born of slave parents in the state of New York"
38783 "about 1798. She recalled vividly in her later years the cold, damp"
38783 "cellar-room in which slept the slaves of the family to which she"
38783 "belonged, and where she was taught by her mother to repeat the Lord's"
38783 "Prayer and to trust God at all times. When in the course of the process"
38783 "of gradual emancipation in New York she became legally free in 1827, her"
38783 "master refused to comply with the law. She left, but was pursued and"
38783 "found. Rather than have her go back, however, a friend paid for her"
38783 "services for the rest of the year. Then there came an evening when,"
38783 "searching for one of her children that had been stolen and sold, she"
38783 "found herself without a resting-place for the night. A Quaker family,"
38783 "however, gave her lodging. Afterwards she went to New York City, joined"
38783 "a Methodist church, and worked hard to improve her condition. Later,"
38783 "having decided to leave New York for a lecture tour through the East,"
38783 "she made a small bundle of her belongings and informed a friend that"
38783 "her name was no longer _Isabella_, as she had been known, but"
38783 "_Sojourner_. Afterwards, as she herself said, finding that she needed"
38783 "two names she adopted _Truth_, because it was intended that she should"
38783 "declare the truth to the people. She went on her way, lecturing to"
38783 "people wherever she found them assembled and being entertained in many"
38783 "aristocratic homes. She was entirely untaught in the schools, but tall"
38783 "and of commanding presence, original, witty, and always suggestive. The"
38783 "stories told about her are numberless; but she was ever moved by an"
38783 "abiding trust in God, and she counted among her friends many of the most"
38783 "distinguished Americans of her time. By her tact and her gift of song"
38783 "she kept down ridicule, and by her fervor and faith she won many friends"
38783 "for the anti-slavery cause."
38783 ""
38783 "It was impossible of course for any single woman to carry on the"
38783 "tradition of such a character as Sojourner Truth. She belonged to a"
38783 "distinct epoch in the country's history, one in which the rights of the"
38783 "Negro and the rights of woman in general were frequently discussed on"
38783 "the same platform; and she passed--so far as her greatest influence was"
38783 "concerned--with her epoch. In more recent years those women who have"
38783 "represented the race before the larger public have been persons of more"
38783 "training and culture, though it has been practically impossible for any"
38783 "one to equal the native force and wit of Sojourner Truth. Outstanding in"
38783 "recent years have been Mrs. Booker T. Washington and Mrs. Mary Church"
38783 "Terrell. The spread of culture, however, and the general force of the"
38783 "social emphasis have more and more led those who were interested in"
38783 "social betterment to come together so that there might be the greater"
38783 "effect from united effort. Thus we have had developing in almost all of"
38783 "our cities and towns various clubs working for the good of the race,"
38783 "whether the immediate aim was literary culture, an orphanage, an old"
38783 "folks' home, the protection of working girls, or something else"
38783 "similarly noble. Prominent among the pioneers in such work were Mrs."
38783 "Josephine St. Pierre Ruffin, of Boston, and Mrs. John T. Cook, of"
38783 "Washington, D. C. No one can record exactly how much has been"
38783 "accomplished by these organizations; in fact, the clubs range all the"
38783 "way in effectiveness from one that is a dominating force in its town to"
38783 "one that is struggling to get started. The result of the work, however,"
38783 "would in any case sum up with an astonishing total. A report from"
38783 "Illinois, fairly representative of the stronger work, mentioned the"
38783 "following activities: \"The Cairo hospital, fostered and under the"
38783 "supervision of the Yates Club of Cairo; the Anna Field Home for Girls,"
